,Unnamed: 0,id,text,label
0,3292,3334,@sexyany99 Te daria $1000 x puta eso te mereces amor a mí me encantan las putas,discredit
1,3293,3335,"@xxitoo_ Poreso es mejo perde la esperanza, no vas a estar como con una persona pero to la alegria depende de tu coño/polla xd",discredit
2,3294,3336,Baby Yo Se Que Tu Eres Bien Puta Yo Lo Se Hace Toas Las Poses La Puse En 4 Pero Nunca La Bese 😈,sexual_harassment
3,3295,3337,le gritó a un viejo que iba manejando rápido y el señor le respondió callate vieja puta q agradable sujeto,discredit
4,3296,3338,@YooaRamirez Callate zorra y deja de cagarme los tw,dominance
5,3297,3339,"le dije a alba por lo bajini 'por qué parece que tenga una polla atravesada en la garganta'. comentario desafortunado, porque me llevé una hostia por su parte y nos dio la risa floja después.",sexual_harassment
6,3298,3340,@ulrikvc Callate puta en alemán,discredit
7,3299,3341,@granainosnovat1 Una boca así con una polla así da gusto verlo...... y ese escote que se ve por ahí abajo habéis conseguido poner algo duro esta tarde también!,sexual_harassment
8,3300,3342,PUUUUUUUUTAAAAAAAAAAAA (SI TU ERES MI PUTA) PUUUUUUUUUUUTAAAAAAAAAAAA (PUTA DEL GOBIERNO),discredit
9,3301,3343,@MissHedone La han llevado para decirle CÁLLATE LA PUTA BOCA FEMINISTA DE MIERDA,discredit
10,3302,3344,@LesieuxAngelina Ladrona hija de puta! Del castigo que te mereces no te vas a poder escapar. Dios está en tofos lados. No tendrás paz,discredit
11,3303,3345,"si no vas a aportar nada bueno, callate. ya hay demasiados hijos de puta para decirme todo lo q hago mal",dominance
12,3304,3346,@Cynntuu @Pipo_gabriela @AlejandroPicart @Antonellapicart Callate que a vos no te llego ni a los talones. Puta,dominance
13,3305,3347,"Pinches ridículas doble moral, primero dicen que odian la infidelidad pero andan defendiendo a otro que es igual de puta a ellos. NO MAMEN",discredit
14,3306,3348,@X0S0G0 deja ya de decir tonterías si la escoria de su exmujer hubiese estado mal.no saldría en las fotos riéndose,discredit
